transaction_date,stock_date,product_id,customer_id,store_id,quantity
1997-01-01,1996-12-31,869,3449,6,5
1997-01-01,1996-12-31,1472,3449,6,3
1997-01-01,1996-12-28,76,3449,6,4
1997-01-01,1996-12-26,320,3449,6,3
1997-01-01,1996-12-25,4,3449,6,4
1997-01-01,1996-12-30,952,3449,6,4
1997-01-01,1996-12-31,1222,3449,6,4
1997-01-01,1996-12-30,517,7859,6,4
1997-01-01,1996-12-27,1359,7859,6,4
1997-01-01,1996-12-31,357,106,6,4
1997-01-01,1996-12-27,1426,106,6,5
1997-01-01,1996-12-26,190,106,6,4
1997-01-01,1996-12-28,367,106,6,4
1997-01-01,1996-12-29,250,106,6,5
1997-01-01,1996-12-26,600,106,6,4
1997-01-01,1996-12-29,702,8248,6,5
1997-01-01,1996-12-27,786,8248,6,3
1997-01-01,1996-12-30,536,8248,6,4
1997-01-01,1996-12-27,1285,8248,6,4
1997-01-01,1996-12-29,596,8248,6,3
1997-01-01,1996-12-27,846,1906,6,2
1997-01-01,1996-12-31,769,1906,6,4
1997-01-01,1996-12-26,586,1906,6,3
1997-01-01,1996-12-28,1135,1906,6,3
1997-01-01,1996-12-25,1046,1906,6,2
1997-01-01,1996-12-25,170,1906,6,4
1997-01-01,1996-12-26,885,5802,6,4
1997-01-01,1996-12-28,236,5802,6,3
1997-01-01,1996-12-30,1039,5802,6,3
1997-01-01,1996-12-25,603,5802,6,2
1997-01-01,1996-12-29,616,4825,6,4
1997-01-01,1996-12-30,1432,4825,6,4
1997-01-01,1996-12-30,544,4825,6,2
1997-01-01,1996-12-28,920,4825,6,2
1997-01-01,1996-12-30,1349,4825,6,3
1997-01-01,1996-12-30,1093,5262,6,4
1997-01-01,1996-12-28,417,5262,6,2
1997-01-01,1996-12-26,887,5262,6,5
1997-01-01,1996-12-27,1449,5262,6,3
1997-01-01,1996-12-26,494,5262,6,4
1997-01-01,1996-12-28,1070,5262,6,2
1997-01-01,1996-12-27,657,2571,6,2
1997-01-01,1996-12-25,967,2571,6,4
1997-01-01,1996-12-26,1483,2200,6,2
1997-01-01,1996-12-25,48,2200,6,3
1997-01-01,1996-12-26,830,9068,6,3
1997-01-01,1996-12-27,1179,9068,6,3
1997-01-01,1996-12-25,131,9068,6,4
1997-01-01,1996-12-25,574,9068,6,4
1997-01-01,1996-12-30,1217,9068,6,2
1997-01-01,1996-12-29,707,7854,6,3
1997-01-01,1996-12-26,817,7854,6,3
